lokalita;plocha;datum_m;status;prist;stab;azimut_stab;vzd_stab;identifikace;duv_neob;kat_poz;poz_les;meric;pozn_plocha;datum_m_pred;prist_pred;kat_poz_pred;poz_les_pred;nadm_vyska;lt;cil_zasoba;cbp;vyr_doba;mdcel
40000079,0;1;2022-06-25;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-03;100;100;100;427,97;2S1;200,0;7,8;50,0;4,6
40000080,0;1;2022-06-25;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-03;100;100;100;375,11;2B1e;200,0;5,8;50,0;4,6
40000081,0;1;2022-06-23;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-24;100;100;100;343,91;2B2e;200,0;5,8;50,0;4,6
40000082,0;1;2022-06-29;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-29;100;100;100;351,61;2S1;200,0;5,8;50,0;4,6
40000083,0;1;2022-06-29;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-24;100;100;100;332,08;2B4;200,0;5,8;50,0;4,6
40000084,0;1;2022-06-29;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-24;100;100;100;328,54;2B4;200,0;5,8;50,0;4,6
40000085,0;1;2022-06-29;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-24;100;100;100;304,07;2S4;200,0;5,8;50,0;4,6
40000086,0;1;2022-07-06;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-24;100;100;100;287,09;2S4;200,0;5,8;50,0;4,6
40000088,0;1;2022-06-26;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-16;100;100;100;375,85;2S4e;200,0;5,8;50,0;4,6
40000089,0;1;2022-06-26;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-16;100;100;100;388,21;2B1e;200,0;5,8;50,0;4,6
40000090,0;1;2022-06-26;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-16;100;100;100;408,69;2B4;200,0;7,8;50,0;4,6
40000091,0;1;2022-07-28;100;100;100;0,0;0,0;100;;100;100;Zahradnicek;;2013-07-16;100;100;100;356,31;2D2;200,0;5,8;50,0;4,6
